exp,comp_name,positive,negative,neutral,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
3,gpt_lex_gen_em,0.084509468,0.597963423,0.472740486,0.008275967,0.505023068,0.008157123,0.858200716,0.001305656,0.289430304,1.08E-09,0.595315328
3,gpt_gem_em_good_semantic,0.531167371,0.53116737,N/A,0.005136355,N/A,N/A,0.000482572,0.054360334,0.079801339,N/A,N/A
3,gpt_sem_gen_em,0.031580644,0.031580635,N/A,0.629358382,N/A,N/A,0.316297229,0.082624738,0.002780558,N/A,N/A
4,IAS_semantic_em_bad,0.646857556,0.646857538,N/A,0.032632829,N/A,N/A,0.001497493,0.074539541,0.130695462,N/A,N/A
4,IAS_semantic_em,0.017010576,0.017010577,N/A,0.000947372,N/A,N/A,8.02E-06,0.004070982,0.823018285,N/A,N/A
4,IAS_semantic_gen,0.212302743,0.212302757,N/A,0.046935953,N/A,N/A,8.72E-07,0.001351824,0.494538331,N/A,N/A
4,IAS_lexicon_em_bad,0.061702986,0.017008394,0.012688356,0.004876871,0.685001229,0.244370388,0.052068245,0.081300447,6.31E-05,0.022338787,0.016123762
4,IAS_lexicon_em_good,7.94E-06,0.520575119,0.008493851,0.510451331,8.36E-06,0.140669913,0.007706234,0.594258692,0.000568781,0.378858782,7.76E-06
4,IAS_lexicon_em,9.93E-06,0.033261396,0.000164909,0.015551083,0.001376724,0.081052276,0.016863709,0.315892634,2.16E-07,0.238316515,1.68E-06
4,IAS_lexicon_gen,0.051435483,0.000102444,0.00397683,1.14E-05,0.00016184,3.25E-07,0.000690319,0.291273458,0.397539898,0.001141645,2.95E-06
4,IAS_semantic_em_good,0.000101571,0.000101571,N/A,0.02528767,N/A,N/A,1.15E-06,0.001506945,0.012764417,N/A,N/A
